id_student,code_module,code_presentation,final_result,total_clicks,median_score,late_submission_pct,engagement_band,score_band
94961,AAA,2013J,Withdrawn,43.0,74.0,0.0,Low (26-75),High (71-85)
98094,AAA,2013J,Pass,225.0,61.0,0.0,High (151-300),Medium (56-70)
100893,AAA,2013J,Pass,92.0,68.0,40.0,Medium (76-150),Medium (56-70)
101781,AAA,2013J,Pass,565.0,74.0,0.0,Very High (300+),High (71-85)
102806,AAA,2013J,Pass,233.0,80.0,0.0,High (151-300),High (71-85)
102952,AAA,2013J,Pass,109.0,76.0,0.0,Medium (76-150),High (71-85)
104476,AAA,2013J,Pass,424.0,78.0,40.0,Very High (300+),High (71-85)
106247,AAA,2013J,Withdrawn,56.0,66.0,66.7,Low (26-75),Medium (56-70)
106577,AAA,2013J,Pass,114.0,56.0,20.0,Medium (76-150),Medium (56-70)
110175,AAA,2013J,Pass,64.0,66.0,20.0,Low (26-75),Medium (56-70)
111717,AAA,2013J,Pass,298.0,80.0,0.0,High (151-300),High (71-85)
113295,AAA,2013J,Pass,388.0,77.0,60.0,Very High (300+),High (71-85)
114017,AAA,2013J,Pass,85.0,72.0,0.0,Medium (76-150),High (71-85)
114999,AAA,2013J,Pass,137.0,77.0,40.0,Medium (76-150),High (71-85)
116541,AAA,2013J,Pass,184.0,60.0,80.0,High (151-300),Medium (56-70)
116692,AAA,2013J,Pass,98.0,72.0,0.0,Medium (76-150),High (71-85)
118983,AAA,2013J,Pass,46.0,63.0,0.0,Low (26-75),Medium (56-70)
123044,AAA,2013J,Pass,187.0,72.0,20.0,High (151-300),High (71-85)
127582,AAA,2013J,Pass,86.0,69.0,60.0,Medium (76-150),Medium (56-70)
129955,AAA,2013J,Withdrawn,87.0,82.0,33.3,Medium (76-150),High (71-85)
132976,AAA,2013J,Pass,48.0,65.0,0.0,Low (26-75),Medium (56-70)
134143,AAA,2013J,Distinction,298.0,85.0,0.0,High (151-300),High (71-85)
135335,AAA,2013J,Withdrawn,10.0,,,Very Low (0-25),
135400,AAA,2013J,Withdrawn,29.0,61.5,0.0,Low (26-75),Medium (56-70)
137873,AAA,2013J,Pass,615.0,81.0,0.0,Very High (300+),High (71-85)
141355,AAA,2013J,Pass,164.0,71.0,20.0,High (151-300),High (71-85)
141377,AAA,2013J,Withdrawn,11.0,45.0,100.0,Very Low (0-25),Low (41-55)
142326,AAA,2013J,Pass,204.0,74.0,20.0,High (151-300),High (71-85)
144801,AAA,2013J,Pass,579.0,65.0,40.0,Very High (300+),Medium (56-70)
145130,AAA,2013J,Pass,40.0,49.0,40.0,Low (26-75),Low (41-55)
146188,AAA,2013J,Fail,91.0,52.0,40.0,Medium (76-150),Low (41-55)
147756,AAA,2013J,Fail,59.0,73.5,50.0,Low (26-75),High (71-85)
147793,AAA,2013J,Withdrawn,5.0,52.0,100.0,Very Low (0-25),Low (41-55)
148993,AAA,2013J,Withdrawn,127.0,70.0,100.0,Medium (76-150),Medium (56-70)
151358,AAA,2013J,Pass,22.0,50.0,0.0,Very Low (0-25),Low (41-55)
155550,AAA,2013J,Pass,111.0,66.0,20.0,Medium (76-150),Medium (56-70)
155854,AAA,2013J,Pass,341.0,79.0,0.0,Very High (300+),High (71-85)
155984,AAA,2013J,Withdrawn,127.0,80.0,50.0,Medium (76-150),High (71-85)
157568,AAA,2013J,Pass,144.0,74.0,60.0,Medium (76-150),High (71-85)
159954,AAA,2013J,Withdrawn,144.0,66.5,50.0,Medium (76-150),Medium (56-70)
164259,AAA,2013J,Pass,35.0,73.0,20.0,Low (26-75),High (71-85)
167906,AAA,2013J,Pass,158.0,72.0,40.0,High (151-300),High (71-85)
168936,AAA,2013J,Pass,110.0,62.0,0.0,Medium (76-150),Medium (56-70)
172112,AAA,2013J,Pass,229.0,72.0,60.0,High (151-300),High (71-85)
172797,AAA,2013J,Pass,274.0,60.0,40.0,High (151-300),Medium (56-70)
174782,AAA,2013J,Pass,610.0,80.0,0.0,Very High (300+),High (71-85)
175392,AAA,2013J,Pass,532.0,82.0,0.0,Very High (300+),High (71-85)
175932,AAA,2013J,Pass,126.0,78.0,40.0,Medium (76-150),High (71-85)
175991,AAA,2013J,Fail,10.0,35.0,40.0,Very Low (0-25),Very Low (0-40)
180753,AAA,2013J,Pass,233.0,59.0,0.0,High (151-300),Medium (56-70)
181316,AAA,2013J,Withdrawn,49.0,76.0,100.0,Low (26-75),High (71-85)
183096,AAA,2013J,Pass,149.0,53.0,20.0,Medium (76-150),Low (41-55)
183947,AAA,2013J,Pass,97.0,48.0,40.0,Medium (76-150),Low (41-55)
184271,AAA,2013J,Pass,124.0,62.0,0.0,Medium (76-150),Medium (56-70)
185439,AAA,2013J,Fail,80.0,74.0,100.0,Medium (76-150),High (71-85)
186149,AAA,2013J,Pass,304.0,81.0,80.0,Very High (300+),High (71-85)
187100,AAA,2013J,Distinction,824.0,90.0,0.0,Very High (300+),Very High (86-100)
188278,AAA,2013J,Withdrawn,100.0,76.0,0.0,Medium (76-150),High (71-85)
189879,AAA,2013J,Pass,98.0,83.0,20.0,Medium (76-150),High (71-85)
192183,AAA,2013J,Pass,190.0,68.0,20.0,High (151-300),Medium (56-70)
195262,AAA,2013J,Withdrawn,276.0,50.0,100.0,High (151-300),Low (41-55)
200860,AAA,2013J,Pass,52.0,58.0,20.0,Low (26-75),Medium (56-70)
202635,AAA,2013J,Withdrawn,101.0,68.0,100.0,Medium (76-150),Medium (56-70)
205350,AAA,2013J,Pass,174.0,75.0,0.0,High (151-300),High (71-85)
205719,AAA,2013J,Fail,25.0,63.0,66.7,Very Low (0-25),Medium (56-70)
227499,AAA,2013J,Distinction,337.0,84.0,0.0,Very High (300+),High (71-85)
227517,AAA,2013J,Fail,91.0,63.0,0.0,Medium (76-150),Medium (56-70)
228082,AAA,2013J,Pass,19.0,77.0,0.0,Very Low (0-25),High (71-85)
228222,AAA,2013J,Pass,43.0,66.0,60.0,Low (26-75),Medium (56-70)
229179,AAA,2013J,Pass,71.0,68.0,0.0,Low (26-75),Medium (56-70)
229361,AAA,2013J,Pass,120.0,76.0,0.0,Medium (76-150),High (71-85)
231554,AAA,2013J,Pass,159.0,64.5,50.0,High (151-300),Medium (56-70)
235507,AAA,2013J,Withdrawn,14.0,65.0,0.0,Very Low (0-25),Medium (56-70)
236284,AAA,2013J,Pass,45.0,83.0,40.0,Low (26-75),High (71-85)
238007,AAA,2013J,Pass,177.0,83.0,0.0,High (151-300),High (71-85)
240712,AAA,2013J,Pass,42.0,80.0,0.0,Low (26-75),High (71-85)
240884,AAA,2013J,Pass,45.0,54.0,0.0,Low (26-75),Low (41-55)
241649,AAA,2013J,Pass,202.0,80.0,0.0,High (151-300),High (71-85)
241729,AAA,2013J,Fail,207.0,61.0,20.0,High (151-300),Medium (56-70)
242793,AAA,2013J,Pass,30.0,77.0,0.0,Low (26-75),High (71-85)
246834,AAA,2013J,Pass,138.0,56.0,0.0,Medium (76-150),Medium (56-70)
248270,AAA,2013J,Pass,178.0,79.0,60.0,High (151-300),High (71-85)
255548,AAA,2013J,Pass,249.0,75.0,80.0,High (151-300),High (71-85)
256815,AAA,2013J,Pass,123.0,79.0,60.0,Medium (76-150),High (71-85)
258392,AAA,2013J,Pass,76.0,58.0,40.0,Medium (76-150),Medium (56-70)
258894,AAA,2013J,Pass,500.0,65.0,40.0,Very High (300+),Medium (56-70)
260355,AAA,2013J,Withdrawn,39.0,57.5,100.0,Low (26-75),Medium (56-70)
262011,AAA,2013J,Pass,167.0,71.0,20.0,High (151-300),High (71-85)
262934,AAA,2013J,Pass,261.0,75.0,0.0,High (151-300),High (71-85)
268073,AAA,2013J,Fail,315.0,75.0,0.0,Very High (300+),High (71-85)
268733,AAA,2013J,Withdrawn,25.0,43.0,100.0,Very Low (0-25),Low (41-55)
271251,AAA,2013J,Pass,270.0,80.0,0.0,High (151-300),High (71-85)
277880,AAA,2013J,Withdrawn,177.0,68.0,100.0,High (151-300),Medium (56-70)
279572,AAA,2013J,Distinction,89.0,79.0,0.0,Medium (76-150),High (71-85)
281022,AAA,2013J,Pass,57.0,74.0,40.0,Low (26-75),High (71-85)
281250,AAA,2013J,Fail,13.0,57.0,0.0,Very Low (0-25),Medium (56-70)
281589,AAA,2013J,Fail,3.0,,,Very Low (0-25),
282821,AAA,2013J,Pass,269.0,61.0,60.0,High (151-300),Medium (56-70)
286488,AAA,2013J,Pass,135.0,73.0,60.0,Medium (76-150),High (71-85)
287548,AAA,2013J,Pass,23.0,70.0,20.0,Very Low (0-25),Medium (56-70)
290201,AAA,2013J,Pass,156.0,72.0,20.0,High (151-300),High (71-85)
290757,AAA,2013J,Pass,285.0,75.0,0.0,High (151-300),High (71-85)
291334,AAA,2013J,Distinction,455.0,85.0,20.0,Very High (300+),High (71-85)
292923,AAA,2013J,Withdrawn,0.0,,,Very Low (0-25),
293699,AAA,2013J,Pass,11.0,47.0,50.0,Very Low (0-25),Low (41-55)
294570,AAA,2013J,Pass,164.0,78.0,0.0,High (151-300),High (71-85)
294594,AAA,2013J,Pass,88.0,53.0,0.0,Medium (76-150),Low (41-55)
295741,AAA,2013J,Fail,67.0,52.0,20.0,Low (26-75),Low (41-55)
296332,AAA,2013J,Distinction,178.0,91.0,0.0,High (151-300),Very High (86-100)
298696,AAA,2013J,Pass,63.0,85.0,20.0,Low (26-75),High (71-85)
300398,AAA,2013J,Pass,261.0,79.0,20.0,High (151-300),High (71-85)
302302,AAA,2013J,Fail,59.0,59.0,33.3,Low (26-75),Medium (56-70)
305152,AAA,2013J,Fail,28.0,64.0,0.0,Low (26-75),Medium (56-70)
305386,AAA,2013J,Pass,194.0,76.0,0.0,High (151-300),High (71-85)
305539,AAA,2013J,Withdrawn,0.0,,,Very Low (0-25),
306107,AAA,2013J,Pass,69.0,62.0,0.0,Low (26-75),Medium (56-70)
306466,AAA,2013J,Pass,108.0,81.0,0.0,Medium (76-150),High (71-85)
306897,AAA,2013J,Pass,275.0,72.0,20.0,High (151-300),High (71-85)
307061,AAA,2013J,Pass,133.0,82.0,0.0,Medium (76-150),High (71-85)
307866,AAA,2013J,Pass,189.0,60.0,25.0,High (151-300),Medium (56-70)
311917,AAA,2013J,Pass,154.0,61.0,20.0,High (151-300),Medium (56-70)
312537,AAA,2013J,Distinction,1427.0,88.0,0.0,Very High (300+),Very High (86-100)
312782,AAA,2013J,Pass,28.0,56.0,0.0,Low (26-75),Medium (56-70)
318933,AAA,2013J,Pass,155.0,68.0,0.0,High (151-300),Medium (56-70)
319047,AAA,2013J,Pass,722.0,79.0,20.0,Very High (300+),High (71-85)
321942,AAA,2013J,Pass,1012.0,80.0,0.0,Very High (300+),High (71-85)
324002,AAA,2013J,Pass,241.0,83.0,0.0,High (151-300),High (71-85)
324084,AAA,2013J,Pass,202.0,58.0,20.0,High (151-300),Medium (56-70)
324282,AAA,2013J,Pass,19.0,64.0,0.0,Very Low (0-25),Medium (56-70)
331358,AAA,2013J,Withdrawn,165.0,84.0,0.0,High (151-300),High (71-85)
332789,AAA,2013J,Pass,136.0,76.0,0.0,Medium (76-150),High (71-85)
333059,AAA,2013J,Pass,50.0,72.0,0.0,Low (26-75),High (71-85)
333323,AAA,2013J,Pass,79.0,75.0,0.0,Medium (76-150),High (71-85)
334259,AAA,2013J,Fail,39.0,53.0,50.0,Low (26-75),Low (41-55)
334333,AAA,2013J,Withdrawn,27.0,36.0,0.0,Low (26-75),Very Low (0-40)
335764,AAA,2013J,Withdrawn,282.0,86.0,33.3,High (151-300),Very High (86-100)
336207,AAA,2013J,Pass,109.0,67.0,0.0,Medium (76-150),Medium (56-70)
339972,AAA,2013J,Pass,22.0,48.0,20.0,Very Low (0-25),Low (41-55)
341872,AAA,2013J,Fail,19.0,64.0,60.0,Very Low (0-25),Medium (56-70)
342007,AAA,2013J,Withdrawn,71.0,75.0,100.0,Low (26-75),High (71-85)
342514,AAA,2013J,Pass,171.0,79.0,0.0,High (151-300),High (71-85)
342972,AAA,2013J,Pass,66.0,57.0,20.0,Low (26-75),Medium (56-70)
343446,AAA,2013J,Pass,357.0,77.0,40.0,Very High (300+),High (71-85)
344282,AAA,2013J,Fail,13.0,47.0,0.0,Very Low (0-25),Low (41-55)
345068,AAA,2013J,Pass,61.0,80.0,40.0,Low (26-75),High (71-85)
345357,AAA,2013J,Distinction,200.0,81.0,0.0,High (151-300),High (71-85)
346025,AAA,2013J,Pass,53.0,85.0,0.0,Low (26-75),High (71-85)
346843,AAA,2013J,Fail,2.0,,,Very Low (0-25),
350188,AAA,2013J,Pass,72.0,75.0,0.0,Low (26-75),High (71-85)
354858,AAA,2013J,Withdrawn,21.0,,,Very Low (0-25),
357668,AAA,2013J,Fail,24.0,59.0,0.0,Very Low (0-25),Medium (56-70)
364177,AAA,2013J,Fail,67.0,68.5,0.0,Low (26-75),Medium (56-70)
365244,AAA,2013J,Pass,82.0,56.0,0.0,Medium (76-150),Medium (56-70)
365642,AAA,2013J,Pass,180.0,70.0,0.0,High (151-300),Medium (56-70)
366483,AAA,2013J,Pass,189.0,82.0,0.0,High (151-300),High (71-85)
368194,AAA,2013J,Pass,46.0,50.0,40.0,Low (26-75),Low (41-55)
368824,AAA,2013J,Fail,28.0,61.0,0.0,Low (26-75),Medium (56-70)
368963,AAA,2013J,Pass,114.0,68.0,20.0,Medium (76-150),Medium (56-70)
376439,AAA,2013J,Distinction,239.0,89.0,20.0,High (151-300),Very High (86-100)
376581,AAA,2013J,Pass,176.0,68.0,40.0,High (151-300),Medium (56-70)
380953,AAA,2013J,Pass,111.0,68.0,0.0,Medium (76-150),Medium (56-70)
383254,AAA,2013J,Pass,73.0,74.0,20.0,Low (26-75),High (71-85)
386924,AAA,2013J,Pass,20.0,65.0,40.0,Very Low (0-25),Medium (56-70)
386952,AAA,2013J,Pass,73.0,67.0,40.0,Low (26-75),Medium (56-70)
388722,AAA,2013J,Pass,65.0,65.0,40.0,Low (26-75),Medium (56-70)
388885,AAA,2013J,Pass,111.0,59.0,0.0,Medium (76-150),Medium (56-70)
390890,AAA,2013J,Withdrawn,20.0,75.0,66.7,Very Low (0-25),High (71-85)
392756,AAA,2013J,Fail,29.0,53.0,0.0,Low (26-75),Low (41-55)
392931,AAA,2013J,Pass,330.0,67.0,60.0,Very High (300+),Medium (56-70)
393207,AAA,2013J,Pass,49.0,74.0,0.0,Low (26-75),High (71-85)
396872,AAA,2013J,Pass,70.0,62.0,40.0,Low (26-75),Medium (56-70)
398552,AAA,2013J,Fail,174.0,47.0,0.0,High (151-300),Low (41-55)
401869,AAA,2013J,Pass,92.0,65.0,40.0,Medium (76-150),Medium (56-70)
402470,AAA,2013J,Pass,77.0,74.0,0.0,Medium (76-150),High (71-85)
404804,AAA,2013J,Pass,34.0,45.0,0.0,Low (26-75),Low (41-55)
405088,AAA,2013J,Pass,104.0,72.0,20.0,Medium (76-150),High (71-85)
405961,AAA,2013J,Withdrawn,0.0,,,Very Low (0-25),
414117,AAA,2013J,Pass,88.0,77.0,40.0,Medium (76-150),High (71-85)
415969,AAA,2013J,Withdrawn,161.0,60.0,100.0,High (151-300),Medium (56-70)
420087,AAA,2013J,Fail,63.0,76.0,100.0,Low (26-75),High (71-85)
429958,AAA,2013J,Pass,45.0,59.0,0.0,Low (26-75),Medium (56-70)
441018,AAA,2013J,Pass,86.0,60.0,0.0,Medium (76-150),Medium (56-70)
441888,AAA,2013J,Pass,55.0,70.0,20.0,Low (26-75),Medium (56-70)
442442,AAA,2013J,Withdrawn,77.0,40.5,0.0,Medium (76-150),Low (41-55)
444677,AAA,2013J,Distinction,85.0,89.0,0.0,Medium (76-150),Very High (86-100)
470588,AAA,2013J,Withdrawn,22.0,86.0,0.0,Very Low (0-25),Very High (86-100)
489455,AAA,2013J,Pass,263.0,69.0,0.0,High (151-300),Medium (56-70)
494424,AAA,2013J,Fail,8.0,,,Very Low (0-25),
495284,AAA,2013J,Pass,110.0,68.0,20.0,Medium (76-150),Medium (56-70)
498857,AAA,2013J,Pass,99.0,73.0,0.0,Medium (76-150),High (71-85)
508818,AAA,2013J,Pass,115.0,73.0,0.0,Medium (76-150),High (71-85)
512460,AAA,2013J,Pass,79.0,75.0,20.0,Medium (76-150),High (71-85)
544103,AAA,2013J,Pass,264.0,81.0,0.0,High (151-300),High (71-85)
550383,AAA,2013J,Pass,84.0,77.0,20.0,Medium (76-150),High (71-85)
564450,AAA,2013J,Fail,28.0,63.0,0.0,Low (26-75),Medium (56-70)
568601,AAA,2013J,Withdrawn,98.0,81.5,50.0,Medium (76-150),High (71-85)
572652,AAA,2013J,Pass,69.0,73.0,20.0,Low (26-75),High (71-85)
580389,AAA,2013J,Pass,124.0,72.0,20.0,Medium (76-150),High (71-85)
581129,AAA,2013J,Fail,28.0,40.0,0.0,Low (26-75),Very Low (0-40)
588775,AAA,2013J,Pass,813.0,81.0,0.0,Very High (300+),High (71-85)
591774,AAA,2013J,Pass,34.0,78.0,0.0,Low (26-75),High (71-85)
603861,AAA,2013J,Withdrawn,111.0,61.0,60.0,Medium (76-150),Medium (56-70)
606143,AAA,2013J,Fail,35.0,66.0,0.0,Low (26-75),Medium (56-70)
704156,AAA,2013J,Pass,279.0,68.0,20.0,High (151-300),Medium (56-70)
705379,AAA,2013J,Distinction,559.0,81.0,20.0,Very High (300+),High (71-85)
721259,AAA,2013J,Withdrawn,108.0,,,Medium (76-150),
749412,AAA,2013J,Pass,357.0,73.0,0.0,Very High (300+),High (71-85)
760729,AAA,2013J,Distinction,854.0,81.0,0.0,Very High (300+),High (71-85)
905042,AAA,2013J,Pass,286.0,80.0,20.0,High (151-300),High (71-85)
949618,AAA,2013J,Pass,171.0,63.0,0.0,High (151-300),Medium (56-70)
958987,AAA,2013J,Pass,127.0,78.0,20.0,Medium (76-150),High (71-85)
968578,AAA,2013J,Pass,116.0,73.0,60.0,Medium (76-150),High (71-85)
969076,AAA,2013J,Withdrawn,156.0,60.5,0.0,High (151-300),Medium (56-70)
971027,AAA,2013J,Pass,237.0,68.0,0.0,High (151-300),Medium (56-70)
978739,AAA,2013J,Pass,564.0,58.0,20.0,Very High (300+),Medium (56-70)
1035023,AAA,2013J,Pass,175.0,72.0,0.0,High (151-300),High (71-85)
1105478,AAA,2013J,Pass,213.0,82.0,40.0,High (151-300),High (71-85)
1352868,AAA,2013J,Withdrawn,41.0,65.5,50.0,Low (26-75),Medium (56-70)
1401935,AAA,2013J,Fail,12.0,35.0,100.0,Very Low (0-25),Very Low (0-40)
1402638,AAA,2013J,Pass,83.0,76.0,100.0,Medium (76-150),High (71-85)
1414443,AAA,2013J,Fail,187.0,59.0,100.0,High (151-300),Medium (56-70)
1456619,AAA,2013J,Withdrawn,40.0,,,Low (26-75),
1465690,AAA,2013J,Pass,285.0,85.0,0.0,High (151-300),High (71-85)
1472925,AAA,2013J,Fail,114.0,62.0,40.0,Medium (76-150),Medium (56-70)
1488959,AAA,2013J,Pass,322.0,64.0,80.0,Very High (300+),Medium (56-70)
1518989,AAA,2013J,Pass,501.0,70.0,20.0,Very High (300+),Medium (56-70)
1618738,AAA,2013J,Pass,58.0,83.0,0.0,Low (26-75),High (71-85)
1620151,AAA,2013J,Fail,94.0,77.5,50.0,Medium (76-150),High (71-85)
1626710,AAA,2013J,Distinction,576.0,85.0,0.0,Very High (300+),High (71-85)
1640609,AAA,2013J,Pass,486.0,85.0,0.0,Very High (300+),High (71-85)
1686521,AAA,2013J,Withdrawn,55.0,68.0,0.0,Low (26-75),Medium (56-70)
1729319,AAA,2013J,Pass,275.0,78.0,0.0,High (151-300),High (71-85)
1746134,AAA,2013J,Pass,160.0,83.0,0.0,High (151-300),High (71-85)
1758449,AAA,2013J,Withdrawn,254.0,61.0,0.0,High (151-300),Medium (56-70)
1763015,AAA,2013J,Withdrawn,46.0,,,Low (26-75),
1765788,AAA,2013J,Pass,665.0,67.0,60.0,Very High (300+),Medium (56-70)
1801229,AAA,2013J,Pass,218.0,78.0,40.0,High (151-300),High (71-85)
1801641,AAA,2013J,Pass,29.0,76.0,0.0,Low (26-75),High (71-85)
1847830,AAA,2013J,Pass,575.0,73.0,0.0,Very High (300+),High (71-85)
1860318,AAA,2013J,Pass,553.0,62.0,0.0,Very High (300+),Medium (56-70)
1889511,AAA,2013J,Pass,157.0,72.0,40.0,High (151-300),High (71-85)
1889577,AAA,2013J,Pass,97.0,72.0,20.0,Medium (76-150),High (71-85)
1894188,AAA,2013J,Pass,154.0,70.0,0.0,High (151-300),Medium (56-70)
1938355,AAA,2013J,Pass,175.0,82.0,0.0,High (151-300),High (71-85)
1942396,AAA,2013J,Pass,54.0,50.0,40.0,Low (26-75),Low (41-55)
1970390,AAA,2013J,Withdrawn,1070.0,80.0,100.0,Very High (300+),High (71-85)
1976139,AAA,2013J,Pass,139.0,75.5,0.0,Medium (76-150),High (71-85)
2011876,AAA,2013J,Pass,170.0,77.0,0.0,High (151-300),High (71-85)
2012966,AAA,2013J,Pass,21.0,78.0,0.0,Very Low (0-25),High (71-85)
2051699,AAA,2013J,Pass,216.0,67.0,40.0,High (151-300),Medium (56-70)
2062879,AAA,2013J,Fail,259.0,65.0,0.0,High (151-300),Medium (56-70)
2065691,AAA,2013J,Withdrawn,104.0,37.0,33.3,Medium (76-150),Very Low (0-40)
2073016,AAA,2013J,Withdrawn,56.0,60.0,66.7,Low (26-75),Medium (56-70)
2080474,AAA,2013J,Pass,135.0,64.0,20.0,Medium (76-150),Medium (56-70)
2083877,AAA,2013J,Pass,86.0,68.0,40.0,Medium (76-150),Medium (56-70)
2084066,AAA,2013J,Fail,155.0,61.0,100.0,High (151-300),Medium (56-70)
2104505,AAA,2013J,Pass,76.0,65.0,0.0,Medium (76-150),Medium (56-70)
2122180,AAA,2013J,Distinction,539.0,82.0,60.0,Very High (300+),High (71-85)
2139353,AAA,2013J,Withdrawn,127.0,65.0,100.0,Medium (76-150),Medium (56-70)
2143752,AAA,2013J,Pass,112.0,52.0,0.0,Medium (76-150),Low (41-55)
2146792,AAA,2013J,Pass,205.0,68.0,0.0,High (151-300),Medium (56-70)
2149225,AAA,2013J,Withdrawn,37.0,,,Low (26-75),
2153153,AAA,2013J,Pass,340.0,61.0,0.0,Very High (300+),Medium (56-70)
2155014,AAA,2013J,Pass,165.0,76.0,60.0,High (151-300),High (71-85)
2164705,AAA,2013J,Fail,21.0,70.0,0.0,Very Low (0-25),Medium (56-70)
2171627,AAA,2013J,Pass,141.0,70.0,20.0,Medium (76-150),Medium (56-70)
2182846,AAA,2013J,Pass,434.0,65.0,0.0,Very High (300+),Medium (56-70)
2194100,AAA,2013J,Pass,181.0,65.0,0.0,High (151-300),Medium (56-70)
2197016,AAA,2013J,Pass,132.0,76.0,0.0,Medium (76-150),High (71-85)
2208424,AAA,2013J,Pass,117.0,73.0,0.0,Medium (76-150),High (71-85)
2229865,AAA,2013J,Pass,253.0,76.0,0.0,High (151-300),High (71-85)
2255601,AAA,2013J,Withdrawn,211.0,54.5,50.0,High (151-300),Low (41-55)
2268379,AAA,2013J,Pass,154.0,83.0,40.0,High (151-300),High (71-85)
2278464,AAA,2013J,Pass,16.0,54.0,40.0,Very Low (0-25),Low (41-55)
2293923,AAA,2013J,Pass,29.0,59.0,40.0,Low (26-75),Medium (56-70)
2312620,AAA,2013J,Withdrawn,113.0,34.0,66.7,Medium (76-150),Very Low (0-40)
2318055,AAA,2013J,Withdrawn,0.0,,,Very Low (0-25),
2324976,AAA,2013J,Withdrawn,0.0,,,Very Low (0-25),
2329342,AAA,2013J,Pass,69.0,56.0,40.0,Low (26-75),Medium (56-70)
2339528,AAA,2013J,Distinction,60.0,81.0,40.0,Low (26-75),High (71-85)
2342426,AAA,2013J,Fail,155.0,71.0,40.0,High (151-300),High (71-85)
2344901,AAA,2013J,Fail,64.0,52.0,25.0,Low (26-75),Low (41-55)
2358056,AAA,2013J,Fail,128.0,68.0,20.0,Medium (76-150),Medium (56-70)
2358969,AAA,2013J,Withdrawn,37.0,68.0,0.0,Low (26-75),Medium (56-70)
2364471,AAA,2013J,Pass,671.0,85.0,100.0,Very High (300+),High (71-85)
2365101,AAA,2013J,Withdrawn,0.0,,,Very Low (0-25),
2367155,AAA,2013J,Pass,170.0,80.0,20.0,High (151-300),High (71-85)
2369266,AAA,2013J,Pass,220.0,50.0,40.0,High (151-300),Low (41-55)
2376496,AAA,2013J,Pass,73.0,72.0,0.0,Low (26-75),High (71-85)
2391984,AAA,2013J,Withdrawn,84.0,74.5,100.0,Medium (76-150),High (71-85)
2411661,AAA,2013J,Fail,34.0,42.0,40.0,Low (26-75),Low (41-55)
2411778,AAA,2013J,Withdrawn,127.0,80.0,0.0,Medium (76-150),High (71-85)
2412002,AAA,2013J,Distinction,366.0,86.0,80.0,Very High (300+),Very High (86-100)
2412967,AAA,2013J,Pass,288.0,79.0,20.0,High (151-300),High (71-85)
2429854,AAA,2013J,Withdrawn,82.0,51.0,100.0,Medium (76-150),Low (41-55)
2437837,AAA,2013J,Pass,308.0,72.0,0.0,Very High (300+),High (71-85)
2449878,AAA,2013J,Pass,72.0,60.0,80.0,Low (26-75),Medium (56-70)
2456480,AAA,2013J,Fail,15.0,34.0,66.7,Very Low (0-25),Very Low (0-40)
2457256,AAA,2013J,Pass,145.0,65.0,60.0,Medium (76-150),Medium (56-70)
2458355,AAA,2013J,Pass,373.0,92.0,0.0,Very High (300+),Very High (86-100)
2460080,AAA,2013J,Pass,287.0,78.0,40.0,High (151-300),High (71-85)
2461190,AAA,2013J,Fail,71.0,56.0,50.0,Low (26-75),Medium (56-70)
2469673,AAA,2013J,Fail,65.0,48.0,25.0,Low (26-75),Low (41-55)
2470694,AAA,2013J,Withdrawn,210.0,67.0,100.0,High (151-300),Medium (56-70)
2479954,AAA,2013J,Pass,39.0,78.0,40.0,Low (26-75),High (71-85)
2481901,AAA,2013J,Pass,194.0,72.0,0.0,High (151-300),High (71-85)
